Season,Player,Pos,Age,Tm,G,MP,eFG.,TS.,WS,WS/48,BPM,PER,VORP,USG.,MVP,MVP1
2020-21,Nikola jokic,C,25,DEN,72,34.6,0.602,0.647,15.6,0.301,12.1,31.3,8.8,29.6,1,1
2020-21,Joel Embiid,C,26,PHI,51,31.1,0.545,0.636,8.8,0.266,7.5,30.3,3.8,35.3,0,-1
2020-21,Stephen Curry,PG,32,GSW,63,34.2,0.605,0.655,9,0.201,8.7,26.3,5.8,34.8,0,-1
2020-21,Giannis Antetokounmpo,PF,26,MIL,61,33,0.6,0.633,10.2,0.244,9,29.2,5.6,32.5,0,-1
2020-21,Chris Paul,PG,35,PHO,70,31.4,0.557,0.599,9.2,0.201,4.6,21.4,3.6,22.6,0,-1
2020-21,Luka Doncic,PG,21,DAL,66,34.3,0.55,0.587,7.7,0.163,6.8,25.3,5.1,36,0,-1
2020-21,Damian Lillard,PG,30,POR,67,35.8,0.554,0.623,10.4,0.209,6.3,25.6,5,31.4,0,-1
2020-21,Julius Randle,PF,26,NYK,71,37.6,0.516,0.567,7.8,0.14,3.8,19.7,3.9,29.3,0,-1
2020-21,Derrick Rose,PG,32,NYK,50,25.6,0.511,0.55,3.1,0.118,1.9,18.3,1.3,25.8,0,-1
2020-21,Rudy Gobert,c,28,UTA,71,30.8,0.675,0.683,11.3,0.248,4.9,23.5,3.8,17,0,-1
2019-20,Giannis Antetokounmpo,PF,25,MIL,63,30.4,0.589,0.613,11.1,0.279,11.5,31.9,6.6,37.5,1,1
2019-20,LeBron James,PG,35,LAL,67,34.6,0.55,0.577,9.8,0.204,8.4,25.5,6.1,31.5,0,-1
2019-20,James Harden,SG,30,HOU,68,36.5,0.543,0.557,13.1,0.254,9.6,29.1,7.3,36.3,0,-1
2019-20,Luka Doncic,PG,20,DAL,61,33.6,0.531,0.585,8.8,0.207,8.4,7.6,5.4,36.8,0,-1
2019-20,Kawhi Leonard,SF,28,LAC,57,32.4,0.524,0.589,8.7,0.226,8.9,26.9,5.1,33,0,-1
2019-20,Anthony Davis,PF,26,LAL,62,34.4,0.536,0.61,11.1,0.25,8,27.4,5.4,29.3,0,-1
2019-20,Chris Paul,PG,34,OKC,70,31.5,0.552,0.61,8.9,0.193,4.4,21.7,3.5,23.3,0,-1
